Student_ID,Student_Name,MCQ mark,2 marks,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Student_41,Anonymous_41,11,15.0,26.0,D,C,A,B,A,B,C,D,B,B,B,C,B,C,B,C,A,C,A,B,2,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,,1.0,0,,1.0,
Student_42,Anonymous_42,14,26.0,40.0,A,C,A,A,D,C,A,C,A,B,B,C,B,C,A,C,A,C,B,C,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,0,0.0,2.0,2.0
Student_43,Anonymous_43,13,20.5,33.5,A,C,B,C,C,A,A,C,C,B,B,C,A,C,A,C,B,C,B,C,2,2.0,2.0,2.0,2.0,1.5,2.0,2.0,1.0,NC,2.0,,,2.0,
Student_44,Anonymous_44,11,21.0,32.0,D,C,A,B,C,B,A,A,D,C,B,C,B,C,D,C,A,C,B,C,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,,,2.0,
Student_45,Anonymous_45,10,12.0,22.0,D,B,B,A,A,A,B,C,A,C,B,C,B,C,D,D,B,C,D,C,2,2.0,,,2.0,1.0,2.0,2.0,1.0,,,,,,
Student_46,Anonymous_46,17,21.0,38.0,D,C,A,C,B,A,A,C,D,B,B,C,B,C,D,C,B,,,,2,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,1,2.0,0,,2.0,2.0
Student_47,Anonymous_47,13,18.0,31.0,D,C,A,D,A,B,B,C,D,B,B,C,B,C,A,C,A,C,B,B,2,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,
Student_48,Anonymous_48,6,11.0,17.0,B,C,,,B,A,,D,A,C,B,C,D,C,C,C,A,C,C,C,2,1.0,,1.0,0.0,2.0,2.0,2.0,,,,1,,,
Student_49,Anonymous_49,12,14.0,26.0,A,C,D,C,C,D,B,C,D,B,B,C,B,C,A,C,B,C,D,C,2,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,
Student_50,Anonymous_50,13,22.0,35.0,D,C,D,C,C,B,B,C,A,B,B,C,B,C,B,C,A,C,C,C,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,0,0.0,2.0,1.0
